[2017-08-13 15:32:21]	Failed open file  ../../\Data\Configure.xml
[2017-08-13 15:44:33]	Failed open file  ../../\Data\Configure.xml
[2017-08-13 15:44:42]	Failed open file  ../../\Data\Configure.xml
[2017-08-13 15:50:40]	Failed open file  D:\题库系统\redMomery\ConsoleApplication1test\bin\Data\Data\Configure.xml
[2017-08-13 15:51:03]	Failed open file  D:\题库系统\redMomery\ConsoleApplication1test\bin\Data\Data\Configure.xml
[2017-08-13 15:51:06]	Failed open file  D:\题库系统\redMomery\ConsoleApplication1test\bin\Data\Data\Configure.xml
[2017-08-13 15:51:08]	Failed open file  D:\题库系统\redMomery\ConsoleApplication1test\bin\Data\Data\Configure.xml
[2017-08-13 15:51:19]	Failed open file  D:\题库系统\redMomery\ConsoleApplication1test\bin\Data\Data\Configure.xml
[2017-08-13 15:54:44]	Failed open file  D:\题库系统\redMomery\ConsoleApplication1test\bin\Data\Data\Configure.xml
[2017-08-13 16:05:07]	Failed open file  .\\Data\Configure.xml
[2017-08-13 19:55:24]	Failed open file  .\\Data\Configure.xml
[2017-08-13 19:57:24]	Failed open file  .\\Data\Configure.xml
